currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
1538,Dimitris Leventis,/dimitrislev,master,5974,2013-07-10,1,5,4
1539,WyAzx,/wangyunazx,master,5972,2018-11-25,1,2,0
1540,Brian Roach,/broach,expert,5970,2013-02-09,0,2,0
1541,XuleiYang,/yangxulei,master,5968,2015-09-30,2,7,2
1542,Philippe Lonjoux,/welcomeworld,expert,5967,2013-08-21,0,9,10
1543,Arseny Kravchenko,/arsenyinfo,master,5967,2014-02-10,1,3,4
1544,Mikhail Edukov,/mikeedi,expert,5967,2019-02-25,0,1,4
1545,Wong,/cwwong1606,expert,5953,2019-03-21,0,3,0
1546,Rob Pratt,/robpratt,master,5949,2012-12-15,1,2,0
1547,Matthew Galati,/matthewgalati,master,5949,2012-12-16,1,2,0
1548,Humberto Brandão,/brandao,master,5949,2015-11-04,1,4,4
1549,SIDHARTH,/sidharthkumar,expert,5949,2016-08-20,0,2,6
1550,None,/thomasx,expert,5936,2015-12-05,0,1,1
1551,Rohit Agarwal,/rohitagarwal,expert,5935,2016-10-23,0,2,1
1552,Joe Eddy,/aquatic,master,5933,2016-03-27,2,3,0
1553,Shengyu Zhao,/dongy17,expert,5929,2017-12-14,1,0,1
1554,Madao,/creditor,expert,5929,2018-11-22,0,0,5
1555,Experto,/zahedi,expert,5924,2013-12-04,0,1,6
1556,YifanTian,/yifant,expert,5919,2016-07-02,0,2,2
1557,tbear,/tkinoshi,expert,5919,2018-10-17,1,1,0
1558,Flavien Gelineau,/flaviengelineau,expert,5909,2017-02-01,0,1,6
1559,Jerry,/wzswan,expert,5907,2018-01-20,1,0,1
1560,MeisterMorxrc,/meistermorxrc,master,5906,2019-04-03,1,2,2
1561,Dromosys,/dromosys,expert,5904,2017-08-04,0,2,1
1562,justart,/justart,expert,5901,2015-08-29,0,2,2
1563,mirandora,/mirandora,expert,5900,2015-11-19,0,0,3
1564,DennisSakva,/sakvaua,master,5897,2015-05-08,1,3,3
1565,Indranil Bhattacharya,/indranilbhattacharya,expert,5896,2015-08-28,0,4,3
1566,Sunghwan Choi,/sunghwanchoi,expert,5895,2013-04-26,1,0,1
1567,rpyverse,/pranav84,expert,5894,2016-10-08,0,1,7
1568,Pavel Petrochenko,/realityfaker,expert,5885,2018-02-18,0,5,1
1569,Abdel (Casa),/morocco,master,5882,2017-10-11,1,5,4
1570,Hiroshi,/uratah,expert,5876,2017-10-18,0,2,1
1571,keleas,/keleas,expert,5876,2018-10-29,0,2,1
1572,Serge,/serg132003,expert,5872,2017-07-01,0,1,2
1573,Frances,/frances567,expert,5866,2018-03-07,0,1,1
1574,seungjae,/soongja,expert,5862,2018-03-27,0,3,0
1575,vivekkumar,/vchoubey,expert,5859,2016-06-23,0,0,2
1576,AmanKapoor,/aman1391,expert,5858,2015-10-28,0,3,7
1577,Jing Guo,/jg3222,expert,5857,2017-02-27,0,2,2
1578,Anton Bazdyrev,/abazdyrev,expert,5853,2018-03-06,0,3,0
1579,Yui Kasuga,/correctoryui,expert,5846,2018-08-07,0,5,1
1580,Murat Korkmaz,/fatall,expert,5845,2018-04-28,0,2,2
1581,Daryl,/darylclimb,expert,5843,2017-01-18,0,2,3
1582,[ods.ai]Uladzimir Tumanau,/vovanf98,expert,5841,2016-08-14,0,2,0
