currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
237,Mehmet Sungur,/medyasun,expert,23,2018-08-26,0,0,4
238,Siti k,/khotijahs1,expert,23,2018-11-30,0,0,4
239,Kamal Das,/kmldas,expert,23,2019-02-05,0,0,3
240,Piyush Agnihotri,/piyushagni5,expert,23,2019-07-13,0,0,3
241,Rohit Sahoo,/rohitsahoo,expert,23,2020-01-02,0,0,3
242,Tanuj dhiman,/tanujdhiman,expert,23,2020-01-20,0,0,3
243,Ada Kibet,/adakibet,expert,23,2020-02-19,0,0,4
244,SkyLord,/skylord,expert,22,2014-10-30,0,0,3
245,JackyWang,/jackywang529,expert,22,2016-01-24,0,0,3
246,LiamLarsen,/kingburrito666,expert,22,2017-02-18,0,1,5
247,Meric Pakkan,/pakkanmeric,expert,22,2018-10-16,0,0,3
248,voru588,/alenavorushilova,expert,22,2019-01-23,0,0,3
249,Yassine Hamdaoui,/yassinehamdaoui1,expert,22,2019-04-05,0,0,3
250,Saurav Anand,/saurav9786,expert,22,2019-04-18,0,0,3
251,Nico,/python10pm,expert,22,2019-09-11,0,0,3
252,DoVan,/nhan1212,expert,22,2019-09-29,0,0,4
253,Archit9406,/archit9406,expert,22,2020-05-07,0,0,3
254,Jean-Michel D.,/jeanmidev,expert,21,2017-01-17,0,1,2
255,Mobasshir Bhuiyan,/mobasshir,expert,21,2017-10-08,0,0,3
256,Noah Weber,/zikazika,expert,21,2018-03-31,0,0,4
257,Jassican,/jassican,expert,21,2019-05-30,0,0,3
258,Nahian Rifaat,/nahianrifaat,expert,21,2020-01-04,0,0,3
259,Dionisius Darryl Hermansyah,/dionisiusdh,expert,21,2020-03-14,0,0,4
260,Dark_Knight_98,/darkknight98,expert,21,2020-06-04,0,0,3
261,MD. Mehedi Hassan Galib,/galibce003,expert,21,2020-07-19,0,0,3
262,Tarek Hamdi,/hamditarek,expert,20,2018-02-27,0,0,4
263,Prageeth Anjula,/praanj,expert,20,2019-01-06,0,0,3
264,Yogesh Singla,/yogeshkumarsingla,expert,20,2019-06-25,0,0,4
265,Bunty,/subbhashit,expert,20,2019-08-12,0,0,3
266,SHREYAS P J,/shreyaspj,expert,20,2020-04-23,0,0,3
267,Co-learning Lounge,/colearninglounge,expert,20,2020-08-25,0,0,3
268,Ouassim Adnane,/ishivinal,expert,19,2016-12-27,0,0,3
269,Harshit Kapoor,/hkapoor,expert,19,2018-03-30,0,0,3
270,Artificial Intelligence inIT,/initagon,expert,19,2018-07-12,0,0,5
271,AJ Pass,/ajpass,expert,19,2018-12-10,0,0,3
272,Kunal Gupta,/kunalgupta2616,expert,19,2019-06-30,0,0,3
273,Utshab Kumar Ghosh,/utshabkumarghosh,expert,19,2019-12-23,0,0,3
274,Niraj,/nirajpoudel,expert,19,2020-02-13,0,0,3
275,Bivek Subedi,/bibeksubedi11,expert,19,2020-03-06,0,0,3
276,Sachin Sharma,/sachinsharma1123,expert,19,2020-04-11,0,0,3
277,Abhishek Parashar,/abhiparashar,expert,19,2020-05-26,0,0,3
278,Abed Khooli,/abedkhooli,expert,18,2015-03-17,0,0,3
279,Rohit Agarwal,/rohitagarwal,expert,18,2016-10-23,0,0,3
280,Nicholle @ Datafiniti,/datafinitinicholle,expert,18,2017-07-11,0,1,3
281,Raghawendra Singh,/raghaw,expert,18,2017-12-12,0,0,3
282,Md Mahmud Ferdous,/mdmahmudferdous,expert,18,2019-12-25,0,0,3
283,Alberto Maria Falletta,/albeffe,expert,18,2020-03-16,0,0,4
284,Nischay Dhankhar,/nischaydnk,expert,18,2020-03-21,0,0,3
285,Jay Faldu,/jayfaldu,expert,18,2020-04-26,0,0,3
286,Eng/Mohamed Nabil,/eng0mohamed0nabil,expert,18,2020-05-04,0,0,3
287,Praveen Kumar,/penchalaiah123,expert,18,2020-09-05,0,0,3
288,CPMP,/cpmpml,expert,17,2012-12-16,0,0,3
289,Rob Harrand,/tentotheminus9,expert,17,2015-06-12,0,1,4
290,Ashadullah Shawon,/shawon10,expert,17,2017-09-29,0,0,3
291,Debadri Dutta,/duttadebadri,expert,17,2017-10-17,0,0,3
292,Sugandh ,/sugandhkhobragade,expert,17,2018-04-21,0,0,3
293,Amaan,/rainmaker29,expert,17,2018-09-02,0,0,4
294,Burak  Batıbay,/batibayburak,expert,17,2019-01-14,0,0,3
295,Nandan Pandey,/awadhi123,expert,17,2019-06-01,0,0,3
296,Abhishek Gupta,/agsam23,expert,17,2020-01-05,0,0,3
297,Liu Shang,/liushanglee,expert,17,2020-07-19,0,0,3
298,thatdataanalyst,/koki25ando,expert,16,2017-02-07,0,0,3
299,AkshatGupta,/akshat4112,expert,16,2017-08-15,0,0,3
300,Jonathan Besomi,/jonathanbesomi,expert,16,2018-10-04,0,0,3
301,vijay chauhan,/vchauhanusf,expert,16,2019-10-16,0,0,4
302,Sagnik,/sagnikpatra,expert,16,2019-10-19,0,0,3
303,Animesh Nareda,/animeshnareda,expert,16,2020-05-20,0,0,3
304,sandy1112,/sandy1112,expert,15,2016-04-01,0,0,3
305,Sagar Shee,/winterbreeze,expert,15,2019-12-26,0,0,3
306,Bella Ciao,/chandanverma,expert,14,2014-03-25,0,0,3
307,Canggih P Wibowo,/canggih,expert,14,2016-09-10,0,0,3
308,Evan Hallmark,/ehallmar,expert,14,2017-11-22,0,0,2
309,Furagsu,/efradgamer,expert,14,2019-02-13,0,0,3
310,XZ,/dwdkills,expert,14,2019-06-07,0,0,3
311,Icaro Freire,/icarofreire,expert,14,2019-12-19,0,0,3
312,Anany Sharma,/ananysharma,expert,14,2020-01-23,0,0,3
313,Linh Halley,/linhhalley,expert,14,2020-07-11,0,0,3
314,Jose Berengueres,/harriken,expert,13,2012-01-14,0,0,3
315,kishorkumarJha,/kishor1210,expert,13,2016-12-16,0,0,3
316,Andrea Garritano,/andreagarritano,expert,13,2019-09-01,0,0,3
317,Sanskruti Panda,/sanskrutipanda,expert,13,2019-10-30,0,0,3
318,Rafay,/rafay12,expert,12,2018-11-12,0,0,3
319,Jigyashu Suraj,/jigyashusuraj,expert,12,2019-08-26,0,0,3
320,Semih Arıcan,/smhrcn,expert,11,2017-10-24,0,0,3
321,Brian Roach,/broach,expert,10,2013-02-09,0,1,2
322,Chaitanya Bapat,/chaibapat,expert,10,2016-07-05,0,0,3
323,Alexsumt,/alexsumt,expert,10,2018-12-19,0,0,3
324,freeCodeCamp,/fccuser,expert,6,2016-05-30,0,1,2
325,AaronSchlegel,/aaronschlegel,expert,5,2015-05-12,0,0,3
